difficulty,puzzle_id,mask_init_ns,permutation_ns,edge_build_ns,pruning_ns,extraction_ns,total_time_ns
hard,52,78804,21632264,165349812,1479005,6838,190435195
hard,53,88498,17099107,155508681,1205782,6057,175137317
hard,54,84162,14795414,101230842,1084641,6546,118135015
hard,55,80257,40077763,365077034,1309936,9374,408988435
hard,56,81480,20358232,213595076,2183489,6737,237645138
hard,57,78066,16355519,165614066,12178765,8919,195370793
hard,58,80657,8358024,42125081,402821,6537,51613768
hard,59,79696,21287026,183520506,1539157,7739,207989147
hard,60,82044,10760789,28894806,1374624,7283,41675223
hard,61,85424,21000851,196759149,3533046,9259,222977935
hard,62,87195,12778649,73390610,1491889,7399,88668917
hard,63,84486,47118925,1042174224,18328306,12473,1112032821
hard,64,82204,21916940,218288827,26678413,7616,268291145
hard,65,98057,21563226,161596852,899641,7674,185754364
hard,66,88563,10733959,53327704,632158,9082,65604643
hard,67,81256,9100834,30865259,361764,7171,41008310
hard,68,87771,10363320,59615743,1762876,7871,73009653
hard,69,84361,32271303,332842173,6200662,10125,373562852
hard,70,78282,15696367,90419505,3443353,8878,110746870
hard,71,83810,14414914,92499902,2840815,7804,110936931
hard,72,80328,20837790,126403145,4262343,10754,152713564
hard,73,86896,9031189,33598239,880836,7357,44209758
hard,74,84762,20833500,187598742,1655382,7530,211533820
hard,75,86073,9863715,34626298,594430,7207,45776814
hard,76,83559,13190533,63612082,456331,7723,78104038
hard,77,87963,12658367,43504630,4519737,9687,61441965
hard,78,101865,14317899,86862971,714525,7735,102903495
hard,79,84695,7711250,26895640,999193,7069,36223862
hard,80,80478,21798571,210750001,2685360,7270,236808297
hard,81,81433,15754229,61468398,663462,7733,79002642
hard,82,88610,19935027,184155843,3502650,10596,209063753
hard,83,82345,11542194,53479667,1019656,11318,66882294
hard,84,82948,16673408,100038078,2248027,6443,120001942
hard,85,78903,16987403,115599809,5710206,9718,139452344
hard,86,89774,16507729,48084428,711901,9706,66272616
hard,87,87610,17754164,134981645,3399740,12196,157311877
hard,88,83593,13745121,88385302,2562242,8879,105706080
hard,89,81115,13201239,79399638,3627302,9220,97173114
hard,90,83993,14047098,73156794,2371538,8593,90514625
hard,91,83653,18873228,95280056,2401725,8982,117563031
hard,92,116184,9728545,47643347,1489801,8816,59667969
hard,93,85234,15590925,70295098,2561672,8119,89386756
hard,94,90049,8955137,41964081,1908614,9714,53637171
hard,95,83522,15065452,90755766,1195115,7661,108194683
hard,96,86415,11718692,63866036,1811102,7492,78278917
hard,97,85926,19380386,154448043,844347,7396,175975305
hard,98,87537,16664271,128831401,862607,7277,147539707
hard,99,82806,7619483,28062418,186972,9217,36536211
